standard_normalized,NAB_standard_rank,NAB_reward_fn_rank,reward_fn_normalized,detection_counters,confusion_matrix,post_processing_strategy,anomaly_threshold,topk,long_window,short_window,precision,recall,f1,accuracy,standard_raw,reward_fn_raw
-23.15788417723418,8.0,10.0,-15.438589451489449,"{'issue_detected': 0, 'issue_detected_ids': [], 'im_detected': 0, 'im_detected_ids': [], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 0, 'tn': 0, 'fp': 80, 'fn': 19}","[[25441    80]
 [  967     0]]",max,99.7,1,0,0,0.0,0.0,0.0,0.9604726668680157,-27.79999598734899,-46.799995987348986
-15.342094703550012,7.0,7.0,-10.228063135700003,"{'issue_detected': 0, 'issue_detected_ids': [], 'im_detected': 0, 'im_detected_ids': [], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 0, 'tn': 0, 'fp': 53, 'fn': 19}","[[25468    53]
 [  967     0]]",max,99.8,1,0,0,0.0,0.0,0.0,0.9614919963757173,-24.829995987349005,-43.829995987349
-7.815778914076367,5.0,6.0,-5.210519276050905,"{'issue_detected': 0, 'issue_detected_ids': [], 'im_detected': 0, 'im_detected_ids': [], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 0, 'tn': 0, 'fp': 27, 'fn': 19}","[[25494    27]
 [  967     0]]",max,99.9,1,0,0,0.0,0.0,0.0,0.9624735729386892,-21.96999598734902,-40.969995987349016
-34.44205825244965,10.0,8.0,-12.435056378826067,"{'issue_detected': 2, 'issue_detected_ids': [12, 13], 'im_detected': 4, 'im_detected_ids': [7, 8, 16, 17], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 6, 'tn': 0, 'fp': 212, 'fn': 13}","[[25309   212]
 [  953    14]]",likelihood,0.998,1,30,2,0.061946902654867256,0.014477766287487074,0.02347024308466052,0.9560178193899124,-32.087982135930865,-45.08798213593086
-30.046956393811858,9.0,9.0,-13.013760402892103,"{'issue_detected': 1, 'issue_detected_ids': [13], 'im_detected': 3, 'im_detected_ids': [7, 16, 17], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 4, 'tn': 0, 'fp': 163, 'fn': 15}","[[25358   163]
 [  958     9]]",likelihood,0.9985,1,30,2,0.05232558139534884,0.009307135470527405,0.015803336259877086,0.9576789489580187,-30.417843429648507,-45.4178434296485
-4.3291243546497284,2.0,3.0,-1.131696938187544,"{'issue_detected': 0, 'issue_detected_ids': [], 'im_detected': 1, 'im_detected_ids': [16], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 1, 'tn': 0, 'fp': 31, 'fn': 18}","[[25490    31]
 [  966     1]]",likelihood,0.9997,1,30,2,0.03125,0.001034126163391934,0.002002002002002002,0.9623603141045002,-20.645067254766897,-38.6450672547669
-2.592282249386579,1.0,2.0,0.026197798654555283,"{'issue_detected': 0, 'issue_detected_ids': [], 'im_detected': 1, 'im_detected_ids': [16], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 1, 'tn': 0, 'fp': 25, 'fn': 18}","[[25496    25]
 [  966     1]]",likelihood,0.99975,1,30,2,0.038461538461538464,0.001034126163391934,0.002014098690835851,0.9625868317728783,-19.9850672547669,-37.9850672547669
-12.778985193952293,6.0,4.0,-5.010551532810294,"{'issue_detected': 0, 'issue_detected_ids': [], 'im_detected': 2, 'im_detected_ids': [7, 14], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 2, 'tn': 0, 'fp': 78, 'fn': 17}","[[25443    78]
 [  965     2]]",mahalanobis,99.7,1,0,0,0.025,0.002068252326783868,0.0038204393505253103,0.9606236786469344,-23.85601437370187,-40.85601437370187
-5.053419336681112,3.0,1.0,0.13982570537048664,"{'issue_detected': 0, 'issue_detected_ids': [], 'im_detected': 2, 'im_detected_ids': [7, 14], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 2, 'tn': 0, 'fp': 51, 'fn': 17}","[[25470    51]
 [  965     2]]",mahalanobis,99.8,1,0,0,0.03773584905660377,0.002068252326783868,0.00392156862745098,0.9616430081546361,-20.920299347938823,-37.92029934793882
-7.80870356747212,4.0,5.0,-5.205802378314747,"{'issue_detected': 0, 'issue_detected_ids': [], 'im_detected': 0, 'im_detected_ids': [], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 0, 'tn': 0, 'fp': 27, 'fn': 19}","[[25494    27]
 [  967     0]]",mahalanobis,99.9,1,0,0,0.0,0.0,0.0,0.9624735729386892,-21.967307355639406,-40.967307355639406
