standard_normalized,NAB_standard_rank,NAB_reward_fn_rank,reward_fn_normalized,detection_counters,confusion_matrix,post_processing_strategy,anomaly_threshold,topk,long_window,short_window,precision,recall,f1,accuracy,standard_raw,reward_fn_raw
4.525082939983667,4.0,3.0,11.788651784550503,"{'issue_detected': 1, 'issue_detected_ids': [12], 'im_detected': 4, 'im_detected_ids': [6, 7, 8, 14], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 5, 'tn': 0, 'fp': 66, 'fn': 14}","[[25455    66]
 [  953    14]]",max,99.7,1,0,0,0.175,0.014477766287487074,0.026743075453677174,0.961529749320447,-17.280468482806207,-31.280468482806214
10.015500710110192,1.0,2.0,15.448930297968197,"{'issue_detected': 1, 'issue_detected_ids': [12], 'im_detected': 4, 'im_detected_ids': [6, 7, 8, 14], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 5, 'tn': 0, 'fp': 45, 'fn': 14}","[[25476    45]
 [  959     8]]",max,99.8,1,0,0,0.1509433962264151,0.008273009307135471,0.01568627450980392,0.9620960434913923,-15.194109730158127,-29.19410973015813
6.416906700769696,2.0,4.0,9.541095695249966,"{'issue_detected': 0, 'issue_detected_ids': [], 'im_detected': 3, 'im_detected_ids': [6, 7, 14], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 3, 'tn': 0, 'fp': 23, 'fn': 16}","[[25498    23]
 [  963     4]]",max,99.9,1,0,0,0.14814814814814814,0.004136504653567736,0.008048289738430584,0.9627755964965268,-16.561575453707515,-32.56157545370752
5.027006872516191,3.0,1.0,17.386425634309095,"{'issue_detected': 1, 'issue_detected_ids': [12], 'im_detected': 6, 'im_detected_ids': [6, 7, 8, 9, 16, 17], 'TestLog_detected': 1, 'TestLog_detected_ids': [4], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 8, 'tn': 0, 'fp': 120, 'fn': 11}","[[25401   120]
 [  951    16]]",likelihood,0.998,1,30,2,0.11764705882352941,0.016546018614270942,0.02901178603807797,0.9595665961945031,-17.089737388443847,-28.089737388443815
-4.823876056002986,8.0,5.0,5.5560124538927464,"{'issue_detected': 1, 'issue_detected_ids': [12], 'im_detected': 3, 'im_detected_ids': [6, 7, 17], 'TestLog_detected': 1, 'TestLog_detected_ids': [4], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 5, 'tn': 0, 'fp': 101, 'fn': 14}","[[25420   101]
 [  958     9]]",likelihood,0.9985,1,30,2,0.08181818181818182,0.009307135470527405,0.016713091922005572,0.9600196315312595,-20.833072901281135,-34.833072901281135
-6.085600912589995,9.0,10.0,-2.302681310147716,"{'issue_detected': 1, 'issue_detected_ids': [12], 'im_detected': 0, 'im_detected_ids': [], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 1, 'tn': 0, 'fp': 33, 'fn': 18}","[[25488    33]
 [  966     1]]",likelihood,0.9997,1,30,2,0.029411764705882353,0.001034126163391934,0.001998001998001998,0.9622848082150408,-21.312528346784198,-39.3125283467842
-4.348758807326846,7.0,9.0,-1.1447865733056168,"{'issue_detected': 1, 'issue_detected_ids': [12], 'im_detected': 0, 'im_detected_ids': [], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 1, 'tn': 0, 'fp': 27, 'fn': 18}","[[25494    27]
 [  966     1]]",likelihood,0.99975,1,30,2,0.03571428571428571,0.001034126163391934,0.0020100502512562816,0.9625113258834189,-20.6525283467842,-38.6525283467842
-7.4613079866475385,10.0,8.0,0.2889525703051501,"{'issue_detected': 0, 'issue_detected_ids': [], 'im_detected': 3, 'im_detected_ids': [6, 7, 17], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 3, 'tn': 0, 'fp': 67, 'fn': 16}","[[25454    67]
 [  954    13]]",mahalanobis,99.7,1,0,0,0.1625,0.01344364012409514,0.024832855778414518,0.9614542434309876,-21.835297034926064,-37.835297034926064
-0.557876478829487,6.0,6.0,4.891240242183851,"{'issue_detected': 0, 'issue_detected_ids': [], 'im_detected': 3, 'im_detected_ids': [6, 7, 17], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 3, 'tn': 0, 'fp': 43, 'fn': 16}","[[25478    43]
 [  957    10]]",mahalanobis,99.8,1,0,0,0.18867924528301888,0.010341261633919338,0.0196078431372549,0.9622470552703111,-19.211993061955205,-35.211993061955205
0.7312504235394955,5.0,7.0,3.996272212184225,"{'issue_detected': 0, 'issue_detected_ids': [], 'im_detected': 2, 'im_detected_ids': [6, 7], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 2, 'tn': 0, 'fp': 25, 'fn': 17}","[[25496    25]
 [  965     2]]",mahalanobis,99.9,1,0,0,0.07407407407407407,0.002068252326783868,0.004024144869215292,0.9626245847176079,-18.72212483905499,-35.72212483905499
